id,createdAt,updatedAt,CategoryId,product_name,description,price,product_weight
19,2023-01-17 11:55:53,2023-01-17 11:55:53,16,NOTEBOOK ASUS K513EA OLED352 i3 1115G4 4GB 512GB OLED FHD WIN11+OHS,"Kondisi: Baru
Berat Satuan: 6 kg
Kategori: Notebook
Etalase: LAPTOP ASUS
100% original, baru, segel dan garansi resmi ASUS

VivoBook Ultra 15 OLED (K513) (Intel® Core™ i3-1115G4/4GB/512GB SSD/Windows 11 Home /Intel® UHD Graphics) - Indie Black

Processor Intel® Core™ i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)
OS Windows 11 Home
Panel 15.6-inch LED Backlit FHD (1920 x 1080) OLED 16:9 aspect ratio glossy panel
Graphic Intel® UHD Graphics
Memory 4GB DDR4 on board
Storage ""512GB M.2 NVMe™ PCIe® 3.0 SSD
HDD housing for storage expansion""
Ports ""1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 2.0 Type-A//1x HDMI 1.4
1x Headphone out//Micro SD card reader
Micro SD 4.0 card reader""


Keyboard Backlit Chiclet Keyboard with Num-key
Camera 720p HD camera
Battery 42WHrs, 3S1P, 3-cell Li-ion
Power supply ø4.0, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal
Touchpad feature 0
Connectivity Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
Weight 1.80 kg
Dimension 35.90 x 23.50 x 1.79 ~ 1.79 cm
Expansion slot ""1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 3.0x2
1x STD 2.5” SATA HDD""
Software & Security Office Home and Student 2021 included
Accessories Backpack
",7950000,6000
20,2023-01-17 11:58:04,2023-01-17 12:39:10,17,Motherboard ASUS PRIME H110M-K LGA1151 INTEL H110,"Intel Socket 1151 for 7th/6th Generation Core i7/Core i5/Core i3/Pentium/Celeron Processors
Supports Intel 14 nm CPU
Supports Intel Turbo Boost Technology 2.0
* The Intel Turbo Boost Technology 2.0 support depends on the CPU types.

Chipset
Intel H110

Memory
2 x DIMM, Max. 32GB, DDR4 2400/2133 MHz Non-ECC, Un-buffered Memory *
Dual Channel Memory Architecture
Supports Intel Extreme Memory Profile (XMP)
* Hyper DIMM support is subject to the physical characteristics of individual CPUs.
* The maximum memory frequency supported varies by processor.
* Due to Intel chipset limitation, DDR4 2400MHz memory frequency is only supported by 7th Generation Intel processors. Higher memory modules will run at the maximum transfer rate of DDR4 2400MHz.
** Due to Intel chipset limitation, DDR4 2133MHz and higher memory modules on 6th Generation Intel processors will run at the maximum transfer rate of DDR4 2133MHz.",800000,1000
21,2023-01-17 11:59:53,2023-01-17 11:59:53,20,"FlashDisk Dual drive OTG USB Type C 3.1 Flash Drive 32GB, 64GB, 128GB - 64 gb","Kondisi: Baru
Berat Satuan: 25 g
Kategori: USB Flash Disk
Etalase: Best sale
FlashDisk Dual drive OTG USB Type C 3.1 Flash Drive 32GB, 64GB, 128GB

Cara Untuk cek harga: - Click ""kapasitas"" yang ingin diorder - Harga

Ready Storage capacity: 32Gb, 64GB,128GB

Ultra Dual USB Drive m3.1 32GB/64GB/128GB Hitam dan Biru Version
- Mendukung ponsel Android terbaru - konektor USB Type c di 1 sisi dan USB 3.1 di sisi lainnya
- kinerja high-speed USB 3.1 hingga 150MB/s untuk memindahkan file lebih cepat antara drive dan ke komputer
- kompatibel dengan HP android yang support OTG Type c
",89900,25
22,2023-01-17 12:03:37,2023-01-17 12:53:11,21,Wacom Cintiq 16 Venus Pen Display Tablet Monitor Design DTK-1660 K1-C,"Wacom Cintiq 16 Venus Pen Display Tablet Monitor Design
DTK-1660/K1-C

Product Type Creative Pen Display
Model Number DTK-1660
Resolution 1920 x 1080 (Full HD)
Display Size
422 x 285 x 24.5mm
16.6 x 11.2 x 1.0 in
Display weight 1.9kg without optional stand
Screen Size (Measured Diagonally)
15.6 inch
39.6 cm
Technology a-Si Active Matrix TFT LCD (IPS)
Displayable Colors (maximum) 16.7 million
Aspect Ratio 16:9
Viewing Angle 176/176 degree (typ) / 140/140 degree (min)
Contrast Ratio 1000:1 (typ) / 600:1(min)
Luminance 210 cd/m2 (typ) (including glass)
White luminance (center) 180 cd/m2 (min)
Response 25 ms
Active Area 344.16 x 193.59mm
13.6 x 7.6 in
Color Gamut 72% NTSC (CIE1931) typical
Color Temperature/Custom Color
Custom RGB
Graphics Input None
Multi-touch No
Pen Wacom Pro Pen 2
Pressure Levels 8192 levels (pen and eraser)",10482000,2000
23,2023-01-17 12:05:58,2023-01-17 12:53:33,22,"Apple iPad 9 9th Gen 2021 - 64GB, Silver","Kondisi: Baru
Berat Satuan: 1,5 kg
Kategori: iOS
Etalase: iPad
Katalog: Apple iPad 9
READY STOCK

Memori : 64 GB & 256 GB
Warna : Space Grey - Silver
Konektitas : WIFI Only

In the Box
iPad
Lightning to USB-C Cable
20W USB-C Power Adapter

Chip
A13 Bionic chip with 64-bit architecture
Neural Engine

Display:
Retina display
10.2-inch (diagonal) LED-backlit Multi-Touch display with IPS technology
2160-by-1620-pixel resolution at 264 pixels per inch (ppi)
True Tone display
500 nits brightness
Fingerprint-resistant oleophobic coating
Supports Apple Pencil (1st generation)
",5132000,1500
24,2023-01-17 12:08:05,2023-01-17 12:12:23,23,SANDISK SD Card Camera SDHC 32GB CLASS 10 Speed 120Mbps - SDHC-32GB,"Kondisi: Baru
Berat Satuan: 100 g
Kategori: SD Card
Etalase: Memory Card SD Card dan USB Flashdrive

SANDISK SD Card SDHC 32GB / 64GB CLASS 10 Speed 120Mbps Ultra Series memory card sd card sdhc 32GB / 64GB CLASS 10 Speed 120Mbps

Transfer Data Lebih Kencang Hingga 120 Mbps
Kartu Memori Micro SD Card Terbaik Sandisk Ultra Class 10 memudahkan Anda untuk simpan foto dan video resolusi tinggi. Kecepatan transfer tinggi hingga 120 MB/s memudahkan Anda untuk memindahkan data berukuran besar seperti foto atau video resolusi tinggi ke PC. Kecepatan SD Card yang cukup tinggi tersebut juga membuatnya cocok digunakan di kamera Digital atau Camcorder Anda. SD Card terbaik Sandisk Ultra Class 10 hadir dalam pilihan kapasitas hingga 64 GB, artinya Anda mempunyai pilihan penyimpanan yang lebih banyak untuk menyimpan semua koleksi foto dan video tanpa harus terlalu sering memindahkan data ke PC.
",105900,100
25,2023-01-17 12:56:04,2023-01-17 12:56:04,11,TP - Link 150 Mbps Wireless N PCI Express Adapter - TL-WN781ND,"#128650 
#TP - Link 150 Mbps Wireless N PCI Express Adapter - TL-WN781ND",106000,250
26,2023-01-17 13:08:25,2023-01-17 14:20:40,14,1STPLAYER Gaming PSU DK5.0 500W(80Plus Bronze) - 3 Years,"SKU : 155943
Product Name : 1STPLAYER Gaming PSU DK5.0 500W - PS-500AX (80Plus Bronze) - 3 Years Warranty Replacement
Brand : 1STPLAYER
Series : DK
Wattage : 500W
80 PLUS Certification : 80 Plus Bronze
Max. Efficiency : Up to 90%
Cooling : Fan
Modular : No
Modularity : No
Motherboard Connector : 20+4-Pin
Connectors : 1x (8/4 pins) CPU +12V
2x 4Pin Molex
2x (8/6 pins) PCI-E Power
6x SATA Power
Form Factor : ATX
Warranty : 3 Years",480000,2400
28,2023-01-17 14:29:33,2023-01-17 14:29:33,4,Gigabyte GeForce GTX 1650 4GB DDR5 OC Series - GV-N1650OC-4GD,"SKU : 160572
Product Name : Gigabyte GeForce GTX 1650 4GB DDR5 OC Series - GV-N1650OC-4GD
Brand : Gigabyte
Interface : PCI-E 3.0 x 16
GPU : GeForce GTX 1650
Core Clock : 1710 MHz
Memory Clock Speed : 8002 MHz
Memory Size : 4 GB
Memory Interface : 128 bit
Memory Type : GDDR5
DirectX : 12
OpenGL : 4.6
Stream Processors : 896
Multi Display : 3 Displays
Video Output Function : HDMI x2, DisplayPort
Minimum Power Requipment : 300 Watt Pure Power or greater PSU
Card Dimensions : L=191 W=112 H=36 mm
Warranty : 3 Years",2540000,2500
29,2023-01-18 01:10:26,2023-01-18 01:10:26,6,Fan Casing Standard 12CM,Fan Casing Standard 12CM,22000,150
